Freq.	V(out)
2.88403150312659e+001	(-4.27297382191534e+001dB,3.83892904429141e+001°)
2.95120922666637e+001	(-4.22229287058961e+001dB,3.88373286978444e+001°)
3.01995172040200e+001	(-4.17139681419783e+001dB,3.92789865915888e+001°)
3.09029543251358e+001	(-4.12028746045125e+001dB,3.97138213280408e+001°)
3.16227766016837e+001	(-4.06896687094627e+001dB,4.01413931208303e+001°)
3.23593656929627e+001	(-4.01743735624847e+001dB,4.05612659917132e+001°)
3.31131121482590e+001	(-3.96570147025825e+001dB,4.09730085340578e+001°)
3.38844156139201e+001	(-3.91376200372148e+001dB,4.13761946366722e+001°)
3.46736850452530e+001	(-3.86162197716025e+001dB,4.17704041657174e+001°)
3.54813389233574e+001	(-3.80928463315300e+001dB,4.21552235999446e+001°)
3.63078054770100e+001	(-3.75675342811450e+001dB,4.25302466180890e+001°)
3.71535229097171e+001	(-3.70403202352895e+001dB,4.28950746344242e+001°)
3.80189396320559e+001	(-3.65112427698101e+001dB,4.32493172835890e+001°)
3.89045144994279e+001	(-3.59803423266964e+001dB,4.35925928503274e+001°)
3.98107170553495e+001	(-3.54476611185584e+001dB,4.39245286466273e+001°)
4.07380277804111e+001	(-3.49132430313010e+001dB,4.42447613346493e+001°)
4.16869383470333e+001	(-3.43771335254512e+001dB,4.45529371957785e+001°)
4.26579518801591e+001	(-3.38393795382618e+001dB,4.48487123480833e+001°)
4.36515832240164e+001	(-3.33000293861387e+001dB,4.51317529125124e+001°)
4.46683592150961e+001	(-3.27591326684529e+001dB,4.54017351297629e+001°)
4.57088189614873e+001	(-3.22167401733795e+001dB,4.56583454304487e+001°)
4.67735141287196e+001	(-3.16729037864829e+001dB,4.59012804610014e+001°)
4.78630092322636e+001	(-3.11276764017172e+001dB,4.61302470672264e+001°)
4.89778819368444e+001	(-3.05811118366078e+001dB,4.63449622402814e+001°)
5.01187233627270e+001	(-3.00332647508024e+001dB,4.65451530258865e+001°)
5.12861383991362e+001	(-2.94841905694238e+001dB,4.67305564030554e+001°)
5.24807460249770e+001	(-2.89339454102225e+001dB,4.69009191326259e+001°)
5.37031796370250e+001	(-2.83825860163457e+001dB,4.70559975819512e+001°)
5.49540873857622e+001	(-2.78301696929466e+001dB,4.71955575270998e+001°)
5.62341325190346e+001	(-2.72767542501905e+001dB,4.73193739379867e+001°)
5.75439937337154e+001	(-2.67223979500849e+001dB,4.74272307481633e+001°)
5.88843655355586e+001	(-2.61671594595851e+001dB,4.75189206146733e+001°)
6.02559586074355e+001	(-2.56110978078899e+001dB,4.75942446690728e+001°)
6.16595001861479e+001	(-2.50542723494584e+001dB,4.76530122651357e+001°)
6.30957344480190e+001	(-2.44967427318644e+001dB,4.76950407249637e+001°)
6.45654229034652e+001	(-2.39385688682062e+001dB,4.77201550868225e+001°)
6.60693448007593e+001	(-2.33798109143623e+001dB,4.77281878574941e+001°)
6.76082975391978e+001	(-2.28205292508885e+001dB,4.77189787723567e+001°)
6.91830970918933e+001	(-2.22607844687955e+001dB,4.76923745648961e+001°)
7.07945784384134e+001	(-2.17006373594377e+001dB,4.76482287482804e+001°)
7.24435960074986e+001	(-2.11401489079370e+001dB,4.75864014109624e+001°)
7.41310241300914e+001	(-2.05793802903843e+001dB,4.75067590290814e+001°)
7.58577575029180e+001	(-2.00183928735656e+001dB,4.74091742956154e+001°)
7.76247116628688e+001	(-1.94572482177496e+001dB,4.72935259696074e+001°)
7.94328234724277e+001	(-1.88960080817612e+001dB,4.71596987457792e+001°)
8.12830516164095e+001	(-1.83347344303077e+001dB,4.70075831460682e+001°)
8.31763771102667e+001	(-1.77734894425120e+001dB,4.68370754334524e+001°)
8.51138038202372e+001	(-1.72123355221241e+001dB,4.66480775494678e+001°)
8.70963589956076e+001	(-1.66513353085591e+001dB,4.64404970754172e+001°)
8.91250938133741e+001	(-1.60905516886611e+001dB,4.62142472185459e+001°)
9.12010839355905e+001	(-1.55300478080571e+001dB,4.59692468210709e+001°)
9.33254300796986e+001	(-1.49698870832827e+001dB,4.57054203954140e+001°)
9.54992586021431e+001	(-1.44101332124117e+001dB,4.54226981817687e+001°)
9.77237220955805e+001	(-1.38508501852668e+001dB,4.51210162301768e+001°)
9.99999999999995e+001	(-1.32921022922531e+001dB,4.48003165052736e+001°)
1.02329299228075e+002	(-1.27339541314780e+001dB,4.44605470132350e+001°)
1.04712854805089e+002	(-1.21764706138787e+001dB,4.41016619494080e+001°)
1.07151930523760e+002	(-1.16197169659572e+001dB,4.37236218656249e+001°)
1.09647819614318e+002	(-1.10637587301389e+001dB,4.33263938567458e+001°)
1.12201845430196e+002	(-1.05086617616460e+001dB,4.29099517622454e+001°)
1.14815362149688e+002	(-9.95449222282021e+000dB,4.24742763847045e+001°)
1.17489755493952e+002	(-9.40131657325177e+000dB,4.20193557191032e+001°)
1.20226443461741e+002	(-8.84920155654206e+000dB,4.15451851941509e+001°)
1.23026877081237e+002	(-8.29821418316872e+000dB,4.10517679218323e+001°)
1.25892541179416e+002	(-7.74842170878777e+000dB,4.05391149520991e+001°)
1.28824955169313e+002	(-7.19989160868475e+000dB,4.00072455313799e+001°)
1.31825673855640e+002	(-6.65269154743245e+000dB,3.94561873611081e+001°)
1.34896288259165e+002	(-6.10688934417980e+000dB,3.88859768535211e+001°)
1.38038426460288e+002	(-5.56255293359965e+000dB,3.82966593828243e+001°)
1.41253754462275e+002	(-5.01975032178505e+000dB,3.76882895262612e+001°)
1.44543977074592e+002	(-4.47854953799203e+000dB,3.70609312942526e+001°)
1.47910838816820e+002	(-3.93901858199563e+000dB,3.64146583459062e+001°)
1.51356124843620e+002	(-3.40122536703818e+000dB,3.57495541852109e+001°)
1.54881661891247e+002	(-2.86523765853954e+000dB,3.50657123367642e+001°)
1.58489319246110e+002	(-2.33112300943385e+000dB,3.43632364967178e+001°)
1.62181009735892e+002	(-1.79894869147361e+000dB,3.36422406569010e+001°)
1.65958690743755e+002	(-1.26878162376636e+000dB,3.29028491983379e+001°)
1.69824365246173e+002	(-7.40688298073952e-001dB,3.21451969516870e+001°)
1.73780082874936e+002	(-2.14734702333246e-001dB,3.13694292241477e+001°)
